"","KL","CH","Hartigan","CCC","Scott","Marriot","TrCovW","TraceW","Friedman","Rubin","Cindex","DB","Silhouette","Duda","Pseudot2","Beale","Ratkowsky","Ball","Ptbiserial","Frey","McClain","Dunn","Hubert","SDindex","Dindex","SDbw"
"2",2.181,437.4979,808.7664,-11.7599,968.2366,1048672833929.27,162193781800.883,1139114.4228,1.1231,1.3999,0.3486,1.2595,0.3052,0.5025,805.9461,0.9889,0.3677,569557.2114,0.3597,-0.0766,0.431,0.0251,0,0.1692,29.1139,1.4263
"3",14.5334,784.1303,348.5115,-11.4369,1996.3198,923507380954.941,129807867055.653,654936.5024,3.0275,2.4348,0.3536,0.9306,0.3801,0.6435,343.4355,0.553,0.4437,218312.1675,0.5771,0.4857,0.7423,0.0167,0,0.1065,22.472,1.2725
"4",0.5909,804.8709,248.3713,-10.5372,2582.4642,961735720787.63,45196369964.7129,496593.7566,4.524,3.2112,0.3745,0.8809,0.3334,0.4454,346.1554,1.2407,0.415,124148.4391,0.5882,0.5264,1.0155,0.0203,0,0.1058,19.6797,1.1904
"5",0.0799,802.3093,600.3709,-10.6263,3088.355,947140632641.881,25194214874.299,404574.7636,6.4618,3.9416,0.3582,0.7978,0.3736,0.465,581.0129,1.1482,0.3855,80914.9527,0.5845,0.3343,1.1259,0.0204,0,0.0918,17.329,1.098
"6",33.3605,1114.1043,170.6358,0.3082,4008.5383,589047798390.016,17482989176.7245,260966.4533,10.5948,6.1106,0.296,0.8318,0.4342,0.481,193.1747,1.0732,0.3736,43494.4089,0.577,0.3807,1.549,0.0231,0,0.0882,13.8466,0.3343
"7",0.086,1101.1894,295.205,-0.1276,4404.2841,558763790384.111,17505496375.7802,225642.8317,13.5117,7.0672,0.328,0.8708,0.4349,0.3473,531.8624,1.8728,0.3505,32234.6902,0.5701,0.4798,1.6206,0.0269,0,0.0954,12.8319,0.2459
"8",8.1084,1240.7735,119.295,3.9141,4831.0374,494435209461.514,9042715257.2182,177520.6989,16.2029,8.9829,0.3039,0.8311,0.4391,0.6567,115.0185,0.5204,0.3334,22190.0874,0.5382,0.6128,1.8826,0.0251,0,0.1038,11.3388,0.2162
"9",0.2135,1218.508,203.2595,3.2432,5074.3743,501177054647.49,8705430429.9348,159979.5547,18.4816,9.9679,0.3052,0.9598,0.4084,0.4377,246.6629,1.278,0.3162,17775.5061,0.5092,0.1964,2.1247,0.0271,0,0.131,10.7994,0.2081
"10",1.0171,1307.0327,194.5844,5.5932,5534.1891,406726686488.383,6514153145.3557,134777.37,24.004,11.8318,0.2817,0.9102,0.4164,0.2478,324.7971,3.0074,0.3027,13477.737,0.5035,0.1797,2.1518,0.0277,0,0.1313,9.9555,0.2245
"11",11.4688,1405.2619,91.2543,8.0231,5830.8588,375432160989.247,4507745397.8744,114297.9887,27.0993,13.9517,0.3111,0.8284,0.4235,0.5118,143.1012,0.9477,0.2906,10390.7262,0.5008,0.752,2.1524,0.0322,0,0.1295,9.1967,0.2255
"12",0.088,1391.968,179.938,7.6423,6047.3122,366722901848.615,4439931335.2784,105430.7073,30.6526,15.1251,0.3047,0.8783,0.4105,0.3352,241.9864,1.9674,0.279,8785.8923,0.4811,0.2344,2.3227,0.0328,0,0.1453,8.8031,0.3066
"13",2.2757,1501.3832,123.7697,10.1769,6324.0311,334357649774.815,2677542543.7867,90421.2789,34.2005,17.6358,0.29,0.8365,0.4261,0.4678,128.5533,1.1277,0.2694,6955.483,0.4739,0.3356,2.3496,0.0334,0,0.1397,8.1539,0.2186
"14",1.6586,1552.3637,102.0528,11.2633,6533.84,320215978614.083,1851052414.6881,81147.418,37.4717,19.6513,0.309,0.8337,0.425,0.3627,168.6604,1.7388,0.2604,5796.2441,0.4652,0.3899,2.4039,0.0309,0,0.1386,7.7414,0.1999
"15",0.5019,1583.264,24.9883,11.8814,6723.6579,309138662971.341,1428647403.9511,74153.3712,41.0579,21.5048,0.3151,0.7975,0.4305,0.7134,38.9677,0.3976,0.2521,4943.5581,0.4577,1.1896,2.4572,0.0325,0,0.1376,7.417,0.1888
"16",6.3203,1512.1375,74.961,10.2625,6773.1686,336195532438.541,1314722613.6129,72477.9747,42.0039,22.0019,0.3169,0.8178,0.409,0.3662,124.6394,1.7074,0.2442,4529.8734,0.4526,0.3804,2.5107,0.0329,0,0.1777,7.3279,0.1915
"17",0.478,1519.3012,48.1379,10.3747,6925.5204,330278120970.821,1097400325.6469,67773.899,45.1346,23.529,0.3186,0.7996,0.4139,0.4743,77.5966,1.0929,0.2373,3986.6999,0.448,0.7122,2.5439,0.0337,0,0.1799,7.0627,0.129
"18",0.7187,1495.1694,81.5429,9.7851,7030.3685,336496464572.499,1018075839.8178,64879.4051,47.5369,24.5787,0.3246,0.802,0.4019,0.6204,89.3352,0.6077,0.2309,3604.4114,0.4434,0.7085,2.5902,0.0347,0,0.1759,6.9146,0.1277
"19",0.3841,1522.0368,115.7816,10.3434,7195.6803,322431298950.642,1018703667.0774,60316.8701,51.5153,26.4379,0.3109,0.8556,0.3852,0.5691,102.2323,0.7517,0.2251,3174.5721,0.4182,0.3453,2.864,0.035,0,0.1981,6.6536,0.1199
"20",13.0715,1601.5479,58.3236,12.023,7401.4496,296110004373.567,764472911.2043,54461.9966,56.5495,29.2801,0.2987,0.894,0.385,0.5434,60.5042,0.8288,0.2198,2723.0998,0.3988,0.3647,3.028,0.0367,0,0.2007,6.3464,0.1123
